เซ็นทรัลฟู้ดรีเทล บจ. สาขาขอนแก่น พลาซ่า ,99 ถ.ศรีจันทร์ ,ต.ในเมือง ,อ.เมืองขอนแก่น ,จ.ขอนแก่น ,40000,00147,552
เซ็นทรัลฟู้ดรีเทล บจ. สาขาชลบุรี ,55/88-55/89 ชั้นจี หมู่ที่1 ,ต.เสม็ด ,อ.เมืองชลบุรี ,จ.ชลบุรี ,20000,00140,545
เซ็นทรัลฟู้ดรีเทล บจ. สาขาเชียงราย ,99/9 หมู่ที่ 13 ,ต.รอบเวียง ,อ.เมืองเชียงราย  ,จ.เชียงราย ,57000,00191,107
เซ็นทรัลฟู้ดรีเทล บจ. สาขานครราชสีมา ,"990,998 ถ.มิตรภาพ-หนองคาย ",ต.ในเมือง ,อ.เมืองนครราชสีมา ,จ.นครราชสีมา ,30000,00425,387
เซ็นทรัลฟู้ดรีเทล บจ. สาขาบุรีรัมย์  ,125 หมู่ 6,ต.กระสัง ,อ.เมืองบุรีรัมย์  ,จ.บุรีรัมย์ ,31000,00348,160
เซ็นทรัลฟู้ดรีเทล บจ. สาขามุกดาหาร 2 ,99/11 ถนนชยางกูร ข ,ต.มุกดาหาร ,อ.เมืองมุกดาหาร ,จ.มุกดาหาร ,49000,00338,149
เซ็นทรัลฟู้ดรีเทล บจ.สาขาร้อยเอ็ด ,137 หมู่ที่3 ,ต.ดงลาน,อ.เมืองร้อยเอ็ด ,จ.ร้อยเอ็ด ,45000,00327,144
เซ็นทรัลฟู้ดรีเทล บจ.สาขาระยอง 2 ,"99,99/1 ถ.บางนา-ตราด ",ต. เชิงเนิน ,อ.เมืองระยอง ,จ. ระยอง ,21000,00344,148
เซ็นทรัลฟู้ดรีเทล บจ. สาขาศรีราชา ,90/1 ถ.สุขุมวิท ,ต.ศรีราชา  ,อ.ศรีราชา ,จ.ชลบุรี ,20110,00028,29
เซ็นทรัลฟู้ดรีเทล บจ. สาขาสระบุรี ,99 ม. 7  ,ต.ตลิ่งชัน ,อ.เมืองสระบุรี ,จ.สระบุรี ,18000,00295,129
เซ็นทรัลฟู้ดรีเทล บจ.สาขาสุรินทร์  ,338 หมู่16 ,ต. สลักได ,อ. เมืองสุรินทร์  ,จังหวัดสุรินทร์ ,32000,00298,130
เซ็นทรัลฟู้ดรีเทล บจ. สาขาอุดร ,277/3 ถ.ประจักษ์ศิลปาคม ,ต. หมากแข้ง ,อ. เมืองอุดรธานี ,จ.อุดรธานี ,41000,00105,505
เซ็นทรัลฟู้ดรีเทล บจ.สาขาอุบล พลาซ่า ,311 หมู่ 7, ต.แจระแม ,อ.เมืองอุบลราชธานี ,จ.อุบลราชธานี ,34000,00282,123
เซ็นทรัลฟู้ดรีเทล บจ.สาขาเชียงใหม่ ,"99 , 99/1 , 99/2 หมู่ 4  ",ต.ฟ้าฮ่าม  ,อ.เมืองเชียงใหม่  ,จ.เชียงใหม่ ,50000,00294,128
เซ็นทรัลฟู้ดรีเทล บจ.สาขาแอร์พอร์ต ,2 ถ.มหิดล  ,ต.หายยา  ,อ.เมืองเชียงใหม่  ,จ.เชียงใหม่,50100,00101  ,503
เซ็นทรัลฟู้ดรีเทล บจ.สาขาโชตนา,171/1  ถ.ช้างเผือก  ,ต.ศรีภูมิ  ,อ.เมืองเชียงใหม่  ,จ.เชียงใหม่ ,50200,,520
เซ็นทรัลฟู้ดรีเทล บจ.สาขาห้วยแก้ว ,21  ถ.ห้วยแก้ว  ,ต.สุเทพ  ,อ.เมืองเชียงใหม่  ,จ.เชียงใหม่ ,50200,00027,571
เซ็นทรัลฟู้ดรีเทล บจ. สาขาหาดใหญ่ ซีพีเอ็น ,"1518,1518/1,1518/2 ถ.กาญจนวณิชย์ ",ต.หาดใหญ่ ,อ.หาดใหญ่ ,จ.สงขลา ,90110,00293,127
เซ็นทรัลฟู้ดรีเทล บจ. สาขาเซ็นทรัล เวิลด์ ,"4 , 4/1-2 , 4/4  ถนนราชดำริห์", แขวงปทุมวัน ,เขตปทุมวัน ,กรุงเทพมหานคร ,10330,00108,512
