Timestamp,duration,left_1,left_2,left_3,left_4,left_5,right_1,right_2,right_3,right_4,right_5,FL,LX,LY,FR,RX,RY,Cop_X,Cop_Y
20:54.5,0,538,473,538,424,169,64,144,19,0,147,505,65,336,81,-125,-65,-870,271
20:54.5,0,562,485,556,373,95,64,144,19,0,147,520,71,425,81,-125,-65,-760,360
20:54.5,0,576,468,557,293,84,64,144,19,0,147,512,89,428,81,-125,-65,-661,363
20:54.6,0.1,576,468,557,293,84,75,113,56,0,632,512,89,428,84,-57,-547,-173,-119
20:54.6,0.1,577,369,519,201,80,75,113,56,0,632,444,150,364,84,-57,-547,-8,-183
20:54.6,0.1,577,369,519,201,80,61,137,205,2,638,444,150,364,171,68,-467,86,-103
20:54.6,0.1,556,228,376,124,87,61,137,205,2,638,302,148,215,171,68,-467,298,-252
20:54.7,0.2,556,228,376,124,87,17,274,318,125,643,302,148,215,296,44,-347,551,-132
20:54.7,0.2,309,154,201,123,88,17,274,318,125,643,177,47,89,296,44,-347,675,-257
20:54.7,0.2,309,154,201,123,88,0,341,351,184,649,177,47,89,346,10,-303,790,-213
20:54.7,0.2,67,97,143,104,95,0,341,351,184,649,120,46,25,346,10,-303,860,-278
20:54.8,0.3,67,97,143,104,95,0,412,352,216,647,120,46,25,382,-60,-265,926,-240
20:54.8,0.3,81,85,132,101,123,0,412,352,216,647,108,47,-14,382,-60,-265,912,-279
20:54.8,0.3,81,85,132,101,123,0,450,355,249,639,108,47,-14,402,-95,-236,958,-251
20:54.8,0.3,95,82,118,80,124,0,450,355,249,639,100,36,-24,402,-95,-236,986,-260
20:54.8,0.3,95,82,118,80,124,31,475,364,285,627,100,36,-24,419,-111,-207,1027,-231
20:54.8,0.3,91,75,116,58,124,31,475,364,285,627,95,41,-28,419,-111,-207,1054,-236
20:54.9,0.4,91,75,116,58,124,68,508,372,301,616,95,41,-28,440,-136,-176,1079,-204
20:54.9,0.4,93,72,111,50,120,68,508,372,301,616,91,39,-28,440,-136,-176,1095,-204
20:54.9,0.4,93,72,111,50,120,106,538,382,306,606,91,39,-28,460,-156,-146,1110,-174
20:55.0,0.5,98,64,105,46,113,106,538,382,306,606,84,41,-28,460,-156,-146,1128,-174
20:55.0,0.5,98,64,105,46,113,157,557,400,324,578,84,41,-28,478,-157,-99,1137,-128
20:55.0,0.5,100,61,105,34,103,157,557,400,324,578,83,44,-20,478,-157,-99,1160,-119
20:55.0,0.5,100,61,105,34,103,239,575,429,357,523,83,44,-20,502,-146,-21,1162,-41
20:55.0,0.5,101,45,97,31,95,239,575,429,357,523,71,52,-24,502,-146,-21,1185,-45
20:55.1,0.6,101,45,97,31,95,326,604,468,392,421,71,52,-24,536,-136,115,1152,91
20:55.1,0.6,101,45,97,31,95,370,627,511,378,303,71,52,-24,569,-116,266,1053,242
20:55.1,0.6,117,46,84,23,89,370,627,511,378,303,65,38,-24,569,-116,266,1073,242
20:55.1,0.6,77,56,67,17,406,370,627,511,378,303,61,11,-344,569,-116,266,765,-78
20:55.2,0.7,77,56,67,17,406,396,639,531,269,129,61,11,-344,585,-108,456,498,111
20:55.2,0.7,78,40,59,18,592,396,639,531,269,129,49,19,-542,585,-108,456,323,-86
20:55.2,0.7,78,40,59,18,592,466,600,511,97,134,49,19,-542,555,-89,421,127,-121
20:55.2,0.7,133,209,103,162,596,466,600,511,97,134,156,-106,-440,555,-89,421,-127,-18
20:55.3,0.8,133,209,103,162,596,493,493,379,57,134,156,-106,-440,436,-114,302,-287,-138
20:55.3,0.8,133,209,103,162,596,388,360,184,69,137,156,-106,-440,272,-176,135,-436,-305
20:55.3,0.8,220,262,190,244,598,388,360,184,69,137,226,-72,-372,272,-176,135,-590,-237
20:55.3,0.8,275,300,268,319,588,388,360,184,69,137,284,-32,-304,272,-176,135,-713,-169
20:55.3,0.8,275,300,268,319,588,148,185,140,61,134,284,-32,-304,162,-45,28,-833,-275
20:55.4,0.9,275,300,268,319,588,80,144,108,56,159,284,-32,-304,126,-36,-33,-850,-337
20:55.4,0.9,275,300,268,319,588,71,151,104,37,159,284,-32,-304,127,-47,-31,-867,-335
20:55.5,1,345,351,313,363,573,71,151,104,37,159,332,-38,-241,127,-47,-31,-944,-272
20:55.5,1,345,351,313,363,573,71,158,81,23,157,332,-38,-241,119,-77,-37,-968,-278
20:55.5,1,391,403,356,402,552,71,158,81,23,157,379,-47,-172,119,-77,-37,-1034,-210
20:55.5,1,416,428,395,443,532,71,158,81,23,157,411,-33,-120,119,-77,-37,-1087,-158
20:55.5,1,437,443,431,465,494,71,158,81,23,157,437,-12,-57,119,-77,-37,-1096,-94
20:55.5,1,437,443,431,465,494,69,169,63,16,157,437,-12,-57,116,-106,-41,-1107,-98
20:55.5,1,454,455,465,471,430,69,169,63,16,157,460,10,30,116,-106,-41,-1072,-11
20:55.6,1.1,454,455,465,471,430,65,174,52,13,150,460,10,30,113,-122,-37,-1085,-7
20:55.6,1.1,470,454,489,473,360,65,174,52,13,150,471,35,111,113,-122,-37,-1028,74
20:55.6,1.1,470,454,489,473,360,62,179,37,6,147,471,35,111,108,-142,-39,-1043,72
20:55.7,1.2,470,454,489,473,360,60,182,32,6,144,471,35,111,107,-150,-37,-1047,74
20:55.7,1.2,497,466,517,471,295,60,182,32,6,144,491,51,196,107,-150,-37,-1000,159
20:55.7,1.2,529,483,544,447,147,60,182,32,6,144,513,61,366,107,-150,-37,-850,329
20:55.7,1.2,555,491,555,377,92,60,182,32,6,144,523,64,431,107,-150,-37,-735,394
20:55.8,1.3,562,450,539,279,87,60,182,32,6,144,494,89,407,107,-150,-37,-603,370
20:55.8,1.3,562,450,539,279,87,57,144,32,0,171,494,89,407,88,-112,-83,-601,324
20:55.8,1.3,562,450,539,279,87,62,112,39,0,511,494,89,407,75,-73,-435,-274,-28
20:55.8,1.3,562,450,539,279,87,40,270,217,14,612,494,89,407,243,-53,-368,9,39
20:55.8,1.3,558,333,468,178,84,40,270,217,14,612,400,135,316,243,-53,-368,207,-52
20:55.9,1.4,558,333,468,178,84,0,381,300,102,602,400,135,316,340,-81,-261,382,55
20:55.9,1.4,492,203,269,132,94,0,381,300,102,602,236,66,142,340,-81,-261,582,-119
20:55.9,1.4,492,203,269,132,94,0,425,312,134,610,236,66,142,368,-113,-241,650,-99
20:55.9,1.4,183,127,152,120,98,0,425,312,134,610,139,25,41,368,-113,-241,755,-200
20:55.9,1.4,183,127,152,120,98,26,475,332,186,590,139,25,41,403,-143,-186,822,-145
20:56.0,1.5,65,89,126,106,128,26,475,332,186,590,107,37,-20,403,-143,-186,838,-207
20:56.0,1.5,65,89,126,106,128,84,501,367,255,574,107,37,-20,434,-134,-140,921,-160
20:56.0,1.5,86,93,121,103,133,84,501,367,255,574,107,28,-26,434,-134,-140,920,-166
20:56.0,1.5,92,82,115,81,134,84,501,367,255,574,98,33,-35,434,-134,-140,949,-175
20:56.1,1.6,92,82,115,81,134,136,517,379,298,567,98,33,-35,448,-138,-119,999,-154
20:56.1,1.6,92,82,115,81,134,207,537,406,328,552,98,33,-35,471,-131,-80,1038,-116
20:56.1,1.6,84,76,112,58,129,207,537,406,328,552,94,36,-35,471,-131,-80,1070,-115
20:56.1,1.6,80,73,109,50,125,207,537,406,328,552,91,36,-34,471,-131,-80,1085,-114
20:56.3,1.8,89,66,106,45,120,207,537,406,328,552,86,40,-34,471,-131,-80,1100,-114
20:56.3,1.8,99,58,100,40,103,207,537,406,328,552,79,42,-24,471,-131,-80,1129,-104
20:56.3,1.8,99,58,100,40,103,264,553,427,352,521,79,42,-24,490,-126,-31,1141,-55
20:56.3,1.8,99,58,100,40,103,302,565,444,367,484,79,42,-24,504,-121,20,1133,-3
20:56.3,1.8,93,49,91,32,93,302,565,444,367,484,70,42,-23,504,-121,20,1160,-2
20:56.3,1.8,93,49,91,32,93,347,588,477,388,416,70,42,-23,532,-111,116,1141,93
20:56.3,1.8,93,49,91,32,93,390,616,513,404,335,70,42,-23,564,-103,229,1108,206
20:56.3,1.8,93,49,91,32,93,425,629,538,381,192,70,42,-23,583,-91,391,961,368
20:56.3,1.8,93,49,91,32,93,443,634,553,314,109,70,42,-23,593,-81,484,821,461
20:56.3,1.8,78,56,73,23,181,443,634,553,314,109,64,17,-116,593,-81,484,748,368
20:56.4,1.9,78,68,62,17,584,443,634,553,314,109,65,-6,-519,593,-81,484,350,-34
20:56.4,1.9,78,68,62,17,584,483,581,540,146,118,65,-6,-519,560,-41,442,158,-76
20:56.4,1.9,94,186,76,140,595,483,581,540,146,118,131,-110,-464,560,-41,442,-41,-21
20:56.5,2,94,186,76,140,595,511,443,474,65,115,131,-110,-464,458,31,343,-227,-120
20:56.5,2,94,186,76,140,595,459,270,245,73,120,131,-110,-464,257,-25,137,-415,-326
20:56.5,2,94,186,76,140,595,227,158,167,64,122,131,-110,-464,162,9,40,-517,-423
20:56.6,2.1,221,270,196,251,600,227,158,167,64,122,233,-74,-367,162,9,40,-735,-326
20:56.6,2.1,278,293,247,292,604,227,158,167,64,122,270,-46,-334,162,9,40,-817,-293
20:56.6,2.1,369,326,314,338,594,227,158,167,64,122,320,-12,-274,162,9,40,-903,-233
20:56.6,2.1,369,326,314,338,594,111,79,133,61,140,320,-12,-274,106,54,-34,-945,-308
20:56.6,2.1,369,326,314,338,594,87,119,108,53,145,320,-12,-274,113,-11,-31,-940,-305
20:56.7,2.2,369,326,314,338,594,83,136,91,34,149,320,-12,-274,113,-45,-35,-955,-309
20:56.7,2.2,422,372,355,366,581,83,136,91,34,149,363,-17,-217,113,-45,-35,-1014,-253
20:56.7,2.2,459,420,408,403,560,83,136,91,34,149,414,-12,-146,113,-45,-35,-1080,-181
20:56.7,2.2,485,437,441,420,533,83,136,91,34,149,439,4,-94,113,-45,-35,-1095,-129
20:56.7,2.2,485,437,441,420,533,84,150,78,19,151,439,4,-94,114,-72,-37,-1108,-131
20:56.7,2.2,502,447,462,426,496,84,150,78,19,151,454,15,-41,114,-72,-37,-1092,-78
20:56.8,2.3,502,447,462,426,496,81,166,61,13,149,454,15,-41,113,-105,-35,-1101,-77
20:56.8,2.3,502,447,462,426,496,76,168,55,10,145,454,15,-41,111,-113,-33,-1110,-75
20:56.8,2.3,502,447,462,426,496,71,166,46,5,135,454,15,-41,106,-120,-29,-1130,-70
20:56.9,2.4,521,451,482,431,450,71,166,46,5,135,466,31,16,106,-120,-29,-1101,-12
20:56.9,2.4,541,458,501,446,380,71,166,46,5,135,479,43,99,106,-120,-29,-1059,70
