Timestamp,duration,left_sensor1,left_sensor2,left_sensor3,left_sensor4,left_sensor5,right_sensor1,right_sensor2,right_sensor3,right_sensor4,right_sensor5,left_stride_F,left_balance_x,left_balance_y,right_stride_F,right_balance_x,right_balance_y,body_COP_x,body_COP_y
16:00.0,0,429,375,502,471,389,384,191,405,374,48,435,127,46,326,214,278,-546,325
16:00.0,0,435,385,507,478,398,384,191,405,374,48,442,122,44,326,214,278,-569,323
16:00.0,0,435,385,507,478,398,318,117,400,312,19,442,122,44,278,283,259,-709,303
16:00.0,0,442,397,520,490,408,318,117,400,312,19,453,123,45,278,283,259,-741,304
16:00.1,0,442,397,520,490,408,246,61,358,193,4,453,123,45,221,297,217,-932,262
16:00.1,0,452,409,535,502,422,246,61,358,193,4,465,126,43,221,297,217,-970,261
16:00.1,0,452,409,535,502,422,169,23,266,24,6,465,126,43,152,243,146,-1206,190
16:00.1,0,458,418,557,508,440,169,23,266,24,6,477,139,37,152,243,146,-1243,184
16:00.1,0,458,418,557,508,440,79,19,106,0,3,477,139,37,68,87,65,-1354,102
16:00.2,0,462,422,569,509,453,79,19,106,0,3,484,147,31,68,87,65,-1375,96
16:00.2,0,462,422,569,509,453,46,15,35,0,3,484,147,31,32,20,29,-1411,60
16:00.2,0,462,424,578,508,459,46,15,35,0,3,488,154,29,32,20,29,-1420,58
16:00.2,0,462,424,578,508,459,15,2,12,0,4,488,154,29,9,10,5,-1441,34
16:00.2,0,462,425,586,509,462,15,2,12,0,4,491,161,29,9,10,5,-1448,34
16:00.3,0,462,425,586,509,462,6,0,1,0,3,491,161,29,2,1,0,-1456,28
16:00.3,0,459,425,595,506,465,6,0,1,0,3,493,170,28,2,1,0,-1458,27
16:00.3,0,459,425,595,506,465,4,0,0,0,3,493,170,28,1,0,-1,-1459,26
16:00.3,0,454,414,600,499,473,4,0,0,0,3,489,186,16,1,0,-1,-1457,14
16:00.3,0,454,414,600,499,473,5,0,0,0,3,489,186,16,1,0,-1,-1456,15
16:00.4,0,439,394,601,491,487,5,0,0,0,3,478,207,-9,1,0,-1,-1451,-10
16:00.4,0,439,394,601,491,487,4,0,0,0,6,478,207,-9,1,0,-4,-1448,-13
16:00.4,0,439,394,601,491,487,4,0,0,0,7,478,207,-9,1,0,-5,-1447,-14
16:00.5,0,430,383,599,487,500,4,0,0,0,7,470,216,-29,1,0,-5,-1449,-35
16:00.5,0,429,382,601,487,503,4,0,0,0,7,470,219,-32,1,0,-5,-1452,-38
16:00.5,0,429,382,601,487,503,4,0,0,0,7,470,219,-32,1,0,-5,-1452,-38
16:00.5,0,429,382,601,487,503,4,0,0,0,6,470,219,-32,1,0,-4,-1453,-37
